id,alias,name,review_count,rating,price,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.zip_code,location.country,location.display_address
tEV1gA2ky-O0XHcOnkNz4Q,aux-trois-dés-lyon-4,Aux Trois Dés,1,3.0,,45.7366766,4.8415524,14 rue Croix Barret,,,69007,FR,"['14 rue Croix Barret', '69007 Lyon', 'France']"
zpRj4jbAmEeWaQTWRspVFg,mc-donalds-lyon-11,Mc Donald's,10,2.0,€,45.7642,4.83423,35 rue Président Edouard Herriot,,,69002,FR,"['35 rue Président Edouard Herriot', '69002 Lyon', 'France']"
TOj8C4CJgO4X50LedvUKiA,yabio-lyon-3,Yabio,1,1.0,,45.770095,4.857845,82 cours Vitton,,,69006,FR,"['82 cours Vitton', '69006 Lyon', 'France']"
CH5bw3EstPcAMffg0ajINQ,steak-n-shake-lyon-2,Steak´n Shake,10,3.5,€€,45.741409,4.816413,112 cours Charlemagne,2e étage,,69002,FR,"['112 cours Charlemagne', '2e étage', '69002 Lyon', 'France']"
27YnrYVyqBPLA8Qr35yzCw,les-tontons-burgers-lyon,Les Tontons Burgers,0,0.0,,45.75671,4.82435,86 rue Saint Georges,,,69005,FR,"['86 rue Saint Georges', '69005 Lyon', 'France']"
a-LqDlaLoVrP6ApqM_6juw,kaffee-berlin-lyon-4,Kaffee Berlin,0,0.0,,45.76735,4.85734,3 avenue Général Brosset,,,69006,FR,"['3 avenue Général Brosset', '69006 Lyon', 'France']"
5umJvZTFsZSi2bzYTRDx-g,mcdonalds-lyon-16,McDonald's,11,3.0,€,45.74891,4.86136,6 cours Albert Thomas,,,69008,FR,"['6 cours Albert Thomas', '69008 Lyon', 'France']"
406iiY-k-Uof1Zpgv1SRog,les-burgers-de-papa-lyon-8,Les Burgers de Papa,2,4.0,€€,45.76885,4.83186,44 rue Sergent Blandan,,,69001,FR,"['44 rue Sergent Blandan', '69001 Lyon', 'France']"
yH_xmHSk2H62gwmI-1PDZw,mcdonalds-lyon-18,McDonald's,2,3.5,€,45.75292,4.82911,48 rue Victor Hugo,,,69002,FR,"['48 rue Victor Hugo', '69002 Lyon', 'France']"
fogSOvWC3xu4tYrbSlY9VA,ninkasi-lyon-13,Ninkasi,37,3.0,€€,45.774593,4.831037,159 bd de la Croix-Rousse,,,69004,FR,"['159 bd de la Croix-Rousse', '69004 Lyon', 'France']"
6O71t2TWzNNBHFe2dhi1Qw,frite-alors-lyon-3,Frite Alors,137,3.0,€€,45.76799,4.83195,20 rue Terme,,,69001,FR,"['20 rue Terme', '69001 Lyon', 'France']"
-eFcOtu00cWOWoi-V5no8g,ninkasi-gorge-de-loup-lyon-2,Ninkasi - Gorge De Loup,3,2.5,€€,45.77175,4.80529,26 rue du Sergent Michel Berthet,,,69009,FR,"['26 rue du Sergent Michel Berthet', '69009 Lyon', 'France']"
sQzTf58rcGGukFLhkYAeGQ,le-tank-lyon,Le Tank,0,0.0,,45.739939,4.84066776931286,45 rue de Gerland,,,69007,FR,"['45 rue de Gerland', '69007 Lyon', 'France']"
4G1LukvhP_FzNlXC_F5wdg,pronto-burger-lyon,Pronto Burger,0,0.0,,45.7684561,4.8349831,7 rue Désirée,,,69001,FR,"['7 rue Désirée', '69001 Lyon', 'France']"
L057RHN2ue4J96I3oEIGlQ,king-marcel-lyon-8,King Marcel,124,3.5,€€,45.7646518,4.8323582,31 rue Mercière,,,69002,FR,"['31 rue Mercière', '69002 Lyon', 'France']"
RZoKm2NqesWGpLWusvQo2A,king-marcel-lyon-9,King Marcel,1,3.0,,45.7492278167163,4.83863465487957,29 rue Chevreul,,,69007,FR,"['29 rue Chevreul', '69007 Lyon', 'France']"
Tq0ZX-Ol4LW7Scy3no2tLQ,126-food-avenue-lyon,126 Food Avenue,1,1.0,,45.7566986,4.84622,126 ave du Maréchal de Saxe,,,69003,FR,"['126 ave du Maréchal de Saxe', '69003 Lyon', 'France']"
